table|remote_count|local_count|match
auth.audit_log_entries|0|0|yes
auth.custom_oauth_providers|0|0|yes
auth.flow_state|0|0|yes
auth.identities|3|3|yes
auth.instances|0|0|yes
auth.mfa_amr_claims|4|4|yes
auth.mfa_challenges|0|0|yes
auth.mfa_factors|0|0|yes
auth.oauth_authorizations|0|0|yes
auth.oauth_client_states|0|0|yes
auth.oauth_clients|0|0|yes
auth.oauth_consents|0|0|yes
auth.one_time_tokens|1|1|yes
auth.refresh_tokens|9|9|yes
auth.saml_providers|0|0|yes
auth.saml_relay_states|0|0|yes
auth.schema_migrations|75|75|yes
auth.sessions|4|4|yes
auth.sso_domains|0|0|yes
auth.sso_providers|0|0|yes
auth.users|3|3|yes
public.appointments|2|2|yes
public.clinic_memberships|1|1|yes
public.clinic_patients|1|1|yes
public.clinics|2|2|yes
public.cognitive_assessments|1|1|yes
public.developmental_history|1|1|yes
public.patient_clinic_consents|1|1|yes
public.patient_family_data|1|1|yes
public.patient_invitations|2|2|yes
public.patient_personal_data|1|1|yes
public.patient_visits|2|2|yes
public.patients|1|1|yes
public.referrals_and_feedback|1|1|yes
public.therapy_sessions|1|1|yes
public.users|3|3|yes
realtime.messages|0|0|yes
realtime.schema_migrations|68|68|yes
realtime.subscription|0|0|yes
storage.buckets|0|0|yes
storage.buckets_analytics|0|0|yes
storage.buckets_vectors|0|0|yes
storage.migrations|57|57|yes
storage.objects|0|0|yes
storage.s3_multipart_uploads|0|0|yes
storage.s3_multipart_uploads_parts|0|0|yes
storage.vector_indexes|0|0|yes
vault.secrets|0|0|yes
